code,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm
1301,極洋,食品,水産・農林業,TOPIX Small 1,プライム,貸借
1305,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　ＴＯＰＩＸ（年１回決算型）,その他,その他,-,その他,貸借
1306,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ連動型上場投信,その他,その他,-,その他,貸借
1308,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＴＯＰＩＸ,その他,その他,-,その他,貸借
1309,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＣｈｉｎａＡＭＣ・中国株式・上証５０連動型上場投信,その他,その他,-,その他,貸借
130A,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,医薬品,-,グロース,信用
1311,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ＴＯＰＩＸ　Ｃｏｒｅ　３０連動型上場投信,その他,その他,-,その他,貸借
1319,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経３００株価指数連動型上場投信,その他,その他,-,その他,貸借
131A,ＣＣＮグループ,情報通信・サービスその他,情報･通信業,-,TOKYO PRO MARKET,その他
1320,大和アセットマネジメント株式会社　ｉＦｒｅｅＥＴＦ　日経２２５（年１回決算型）,その他,その他,-,その他,貸借
1321,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　日経２２５連動型上場投信,その他,その他,-,その他,貸借
1322,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド中国Ａ株（パンダ）Ｅ　Ｆｕｎｄ　ＣＳＩ３００,その他,その他,-,その他,貸借
1325,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　ブラジル株式指数・ボベスパ連動型上場投信,その他,その他,-,その他,貸借
1326,ワールド・ゴールド・トラスト・サービシズ・エルエルシー　ＳＰＤＲゴールド・シェア,その他,その他,-,その他,貸借
1328,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　金価格連動型上場投信,その他,その他,-,その他,貸借
1329,ブラックロック・ジャパン株式会社　　ｉシェアーズ・コア　日経２２５　ＥＴＦ,その他,その他,-,その他,貸借
132A,アイエヌホールディングス,運輸・物流,陸運業,-,TOKYO PRO MARKET,その他
1330,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンド２２５,その他,その他,-,その他,貸借
1332,ニッスイ,食品,水産・農林業,TOPIX Mid400,プライム,貸借
1333,Ｕｍｉｏｓ,食品,水産・農林業,TOPIX Mid400,プライム,貸借
133A,Ｇｌｏｂａｌ　Ｘ　Ｊａｐａｎ株式会社　グローバルＸ　超短期米国債　ＥＴＦ,その他,その他,-,その他,貸借
1343,野村アセットマネジメント株式会社　ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ　指数連動型上場投信,その他,その他,-,その他,貸借
1345,アモーヴァ・アセットマネジメント株式会社　上場インデックスファンドＪリート（東証ＲＥＩＴ指数）隔月分配型,その他,その他,-,その他,貸借
1346,三菱ＵＦＪアセットマネジメント株式会社　ＭＡＸＩＳ　日経２２５上場投信,その他,その他,-,その他,貸借
