code,driver,group
8035,半導体製造装置,半導体・AI関連
6857,半導体製造装置,半導体・AI関連
6920,半導体製造装置,半導体・AI関連
6146,半導体製造装置,半導体・AI関連
6361,半導体製造装置,半導体・AI関連
3436,半導体,半導体・AI関連
6723,半導体,半導体・AI関連
6526,半導体,半導体・AI関連
6963,半導体,半導体・AI関連
4063,半導体,半導体・AI関連
7741,半導体,半導体・AI関連
6981,電子部品,半導体・AI関連
6762,電子部品,半導体・AI関連
6479,電子部品,半導体・AI関連
6971,電子部品,半導体・AI関連
5803,電線・データセンター,半導体・AI関連
5801,電線・データセンター,半導体・AI関連
5802,電線・データセンター,半導体・AI関連
9984,ハイテク・IT,半導体・AI関連
8306,銀行,メガバンク
8316,銀行,メガバンク
8411,銀行,メガバンク
8308,銀行,メガバンク
8309,銀行,メガバンク
7203,自動車,自動車
7267,自動車,自動車
7269,自動車,自動車
6902,自動車,自動車
5108,自動車,自動車
7011,防衛・重工,防衛・重工
7012,防衛・重工,防衛・重工
7013,防衛・重工,防衛・重工
8058,商社,商社
8031,商社,商社
8001,商社,商社
8053,商社,商社
9101,海運,海運
9104,海運,海運
9432,通信,
9434,通信,
9433,通信,
6758,ハイテク・IT,
6702,ハイテク・IT,
6501,ハイテク・IT,
6098,ハイテク・IT,
6506,FA・機械,
6954,FA・機械,
6861,FA・機械,
6301,FA・機械,
6367,FA・機械,
6503,電機,
6701,電機,
6752,電機,
7751,電機,
8725,保険・証券,保険
8766,保険・証券,保険
8750,保険・証券,保険
8604,保険・証券,
5401,素材,
4901,素材,
1605,資源・エネルギー,
7453,小売・内需,
3382,小売・内需,
8267,小売・内需,
9983,小売・内需,
4568,医薬品,
4503,医薬品,
4502,医薬品,
2802,食品,
9501,電力,
9502,電力,
4661,レジャー・ゲーム,
7974,レジャー・ゲーム,
285A,半導体,半導体・AI関連
