証券コード,銘柄名,業種（日経業種分類）,決算期,PER（株価収益率、倍）,業種平均PER（倍）,"PER評価
（利益に対する割安・割高／業種平均より低いか）",PBR（株価純資産倍率、倍）,業種平均PBR（倍）,"PBR評価
（資産に対する割安・割高／1倍前後・業種平均比）",配当利回り（%）,配当性向（%）,"配当評価
（増配傾向か／性向が過度に高くないか）",ROE（自己資本利益率、%）,"ROE評価
（資本効率。目安8〜10%以上）",営業利益率の推移（直近3期以上）,"営業利益率評価
（収益力の安定性。安定/改善しているか）",自己資本比率（%）,"自己資本比率評価
（財務健全性。業種特性を踏まえ低すぎないか）",データ取得日・出所
1332,ニッスイ,水産,,13.43,13.43,業種内比較銘柄なし（1社のみ）,1.32,1.32,業種内比較銘柄なし（1社のみ）,2.49,,,,,,,,,PER/PBR/配当利回り: ダイヤモンドZAiオンラインα「日経平均株価の採用銘柄一覧」2026/6/30時点データ(2026/7/1公開)、一部銘柄はIRBANK(2026年7月時点)
1605,INPEX,鉱業,,10.84,10.84,業種内比較銘柄なし（1社のみ）,0.78,0.78,業種内比較銘柄なし（1社のみ）,3.30,,,,,,,,,
1721,コムシスホールディングス,建設,,16.62,13.59,割高（業種平均以上）,1.57,1.59,やや割安（業種平均より低い）,2.47,,,,,,,,,
1801,大成建設,建設,,15.38,13.59,割高（業種平均以上）,2.47,1.59,割高（1倍超・業種平均以上）,2.66,,,,,,,,,
1802,大林組,建設,,14.26,13.59,割高（業種平均以上）,1.79,1.59,割高（1倍超・業種平均以上）,2.88,,,,,,,,,
1803,清水建設,建設,,13.32,13.59,割安（業種平均より低い）,1.78,1.59,割高（1倍超・業種平均以上）,3.02,,,,,,,,,
1808,長谷工コーポレーション,建設,,11.40,13.59,割安（業種平均より低い）,1.34,1.59,やや割安（業種平均より低い）,3.51,,,,,,,,,
1812,鹿島,建設,,16.02,13.59,割高（業種平均以上）,1.92,1.59,割高（1倍超・業種平均以上）,2.48,,,,,,,,,
1925,大和ハウス工業,建設,,12.05,13.59,割安（業種平均より低い）,0.95,1.59,割安（1倍前後かつ業種平均より低い）,3.98,,,,,,,,,
1928,積水ハウス,建設,,10.06,13.59,割安（業種平均より低い）,1.02,1.59,割安（1倍前後かつ業種平均より低い）,4.28,,,,,,,,,
