code,driver,last_close,avg_volume_20d,updated_date,CoName,S17Nm,S33Nm,ScaleCat,MktNm,MrgnNm,出来高(万株)
9432,通信,159.0,240069545.0,2026-07-30,ＮＴＴ,情報通信・サービスその他,情報･通信業,TOPIX Core30,プライム,貸借,24007
9434,通信,232.0,80190370.0,2026-07-30,ソフトバンク,情報通信・サービスその他,情報･通信業,TOPIX Core30,プライム,貸借,8019
9984,その他,4622.0,52221515.0,2026-07-30,ソフトバンクグループ,情報通信・サービスその他,情報･通信業,TOPIX Core30,プライム,貸借,5222
8306,金融,3525.0,43431520.0,2026-07-30,三菱ＵＦＪフィナンシャル・グループ,銀行,銀行業,TOPIX Core30,プライム,貸借,4343
5401,素材,660.0,40727385.0,2026-07-30,日本製鉄,鉄鋼・非鉄,鉄鋼,TOPIX Large70,プライム,貸借,4073
5803,電線・DC関連,3720.0,39259885.0,2026-07-30,フジクラ,鉄鋼・非鉄,非鉄金属,TOPIX Large70,プライム,貸借,3926
9501,内需,524.0,34517870.0,2026-07-30,東京電力ホールディングス,電気・ガス,電気･ガス業,TOPIX Mid400,プライム,貸借,3452
7201,自動車,355.0,32990880.0,2026-07-30,日産自動車,自動車・輸送機,輸送用機器,TOPIX Mid400,プライム,貸借,3299
7203,自動車,3126.0,32419180.0,2026-07-30,トヨタ自動車,自動車・輸送機,輸送用機器,TOPIX Core30,プライム,貸借,3242
3436,半導体,2856.5,22792620.0,2026-07-30,ＳＵＭＣＯ,建設・資材,金属製品,TOPIX Mid400,プライム,貸借,2279
5802,電線・DC関連,2109.5,21585785.0,2026-07-30,住友電気工業,鉄鋼・非鉄,非鉄金属,TOPIX Large70,プライム,貸借,2159
543A,自動車,274.0,20735195.0,2026-07-30,ＡＲＣＨＩＯＮ,自動車・輸送機,輸送用機器,TOPIX Small 1,プライム,貸借,2074
7011,防衛・重工,3736.0,17955970.0,2026-07-30,三菱重工業,機械,機械,TOPIX Core30,プライム,貸借,1796
5801,電線・DC関連,2777.5,17579230.0,2026-07-30,古河電気工業,鉄鋼・非鉄,非鉄金属,TOPIX Mid400,プライム,貸借,1758
6758,電機,3809.0,17342470.0,2026-07-30,ソニーグループ,電機・精密,電気機器,TOPIX Core30,プライム,貸借,1734
7267,自動車,1670.0,17337970.0,2026-07-30,本田技研工業,自動車・輸送機,輸送用機器,TOPIX Core30,プライム,貸借,1734
7211,自動車,382.6,16276150.0,2026-07-30,三菱自動車工業,自動車・輸送機,輸送用機器,TOPIX Mid400,プライム,貸借,1628
6723,半導体,3196.0,14808735.0,2026-07-30,ルネサスエレクトロニクス,電機・精密,電気機器,TOPIX Large70,プライム,貸借,1481
7012,防衛・重工,2683.5,14098415.0,2026-07-30,川崎重工業,自動車・輸送機,輸送用機器,TOPIX Mid400,プライム,貸借,1410
8001,商社,2023.5,13617575.0,2026-07-30,伊藤忠商事,商社・卸売,卸売業,TOPIX Core30,プライム,貸借,1362
4689,ネット,458.4,13308085.0,2026-07-30,ＬＩＮＥヤフー,情報通信・サービスその他,情報･通信業,TOPIX Large70,プライム,貸借,1331
4755,ネット,837.7,13118535.0,2026-07-30,楽天グループ,情報通信・サービスその他,サービス業,TOPIX Mid400,プライム,貸借,1312
6762,電機,2811.5,12973055.0,2026-07-30,ＴＤＫ,電機・精密,電気機器,TOPIX Large70,プライム,貸借,1297
7013,防衛・重工,2771.5,12300915.0,2026-07-30,ＩＨＩ,機械,機械,TOPIX Mid400,プライム,貸借,1230
4005,素材,516.9,11752710.0,2026-07-30,住友化学,素材・化学,化学,TOPIX Mid400,プライム,貸借,1175
6752,電機,3584.0,11487740.0,2026-07-30,パナソニック　ホールディングス,電機・精密,電気機器,TOPIX Large70,プライム,貸借,1149
8604,金融,1470.0,11000415.0,2026-07-30,野村ホールディングス,金融（除く銀行）,証券･商品先物取引業,TOPIX Large70,プライム,貸借,1100
