code,CoName,S17Nm,close,BPS,EPS実績,EPS予想,直近開示,PBR,予想PER,実績PER
9432,ＮＴＴ,情報通信・サービスその他,159.0,119.47,12.61,11.7,2026-05-08,1.33,13.6,12.6
9434,ソフトバンク,情報通信・サービスその他,232.0,55.13,11.35,11.28,2026-05-11,4.21,20.6,20.4
9984,ソフトバンクグループ,情報通信・サービスその他,4622.0,3057.72,873.51,,2026-05-15,1.51,,5.3
8306,三菱ＵＦＪフィナンシャル・グループ,銀行,3525.0,1973.31,213.17,,2026-05-15,1.79,,16.5
5401,日本製鉄,鉄鋼・非鉄,660.0,1058.19,3.28,-13.0,2026-05-13,0.62,-50.8,201.2
5803,フジクラ,鉄鋼・非鉄,3720.0,338.45,94.93,138.31,2026-06-18,10.99,26.9,39.2
9501,東京電力ホールディングス,電気・ガス,524.0,1491.01,-283.51,-400.11,2026-07-29,0.35,-1.3,-1.8
7201,日産自動車,自動車・輸送機,355.0,1372.56,-152.58,-157.42,2026-05-13,0.26,-2.3,-2.3
7203,トヨタ自動車,自動車・輸送機,3126.0,3062.82,295.25,273.91,2026-05-08,1.02,11.4,10.6
3436,ＳＵＭＣＯ,建設・資材,2856.5,1653.87,-33.6,-48.33,2026-05-12,1.73,-59.1,-85.0
5802,住友電気工業,鉄鋼・非鉄,2109.5,3517.58,473.78,410.3,2026-05-12,0.6,5.1,4.5
543A,ＡＲＣＨＩＯＮ,自動車・輸送機,274.0,,,25.0,2026-05-14,,11.0,
7011,三菱重工業,機械,3736.0,919.16,98.86,77.38,2026-05-12,4.06,48.3,37.8
5801,古河電気工業,鉄鋼・非鉄,2777.5,5928.21,1030.17,767.0,2026-05-12,0.47,3.6,2.7
6758,ソニーグループ,電機・精密,3809.0,1374.32,-54.7,,2026-05-08,2.77,,-69.6
7267,本田技研工業,自動車・輸送機,1670.0,3035.91,-106.06,75.05,2026-05-14,0.55,22.3,-15.7
7211,三菱自動車工業,自動車・輸送機,382.6,687.01,7.48,7.47,2026-05-08,0.56,51.2,51.1
6723,ルネサスエレクトロニクス,電機・精密,3196.0,1347.26,-28.65,,2026-04-24,2.37,,-111.6
7012,川崎重工業,自動車・輸送機,2683.5,1050.57,129.41,538.43,2026-05-12,2.55,5.0,20.7
8001,伊藤忠商事,商社・卸売,2023.5,942.78,128.0,127.96,2026-05-01,2.15,15.8,15.8
4689,ＬＩＮＥヤフー,情報通信・サービスその他,458.4,437.23,27.97,,2026-05-08,1.05,,16.4
4755,楽天グループ,情報通信・サービスその他,837.7,457.33,-82.24,,2026-05-14,1.83,,-10.2
6762,ＴＤＫ,電機・精密,2811.5,1152.3,103.09,100.11,2026-04-28,2.44,28.1,27.3
7013,ＩＨＩ,機械,2771.5,615.23,151.88,117.49,2026-05-25,4.5,23.6,18.2
4005,住友化学,素材・化学,516.9,610.78,37.16,33.61,2026-05-14,0.85,15.4,13.9
6752,パナソニック　ホールディングス,電機・精密,3584.0,2232.09,81.19,192.73,2026-07-30,1.61,18.6,44.1
