分類,テーマ,メッセージ,参考URL,文章
人間関係,人間関係を円滑に,会社の飲み会には極力参加すべき,https://x.com/nekosukexx/status/1823646984970101066,Z世代よ、飲み会で『残業代』がほしいならコレだ....
人間関係,人間関係を円滑に,人を巻き込む「協力者を増やす」スキルが重要,https://x.com/nekosukexx/status/1821474370298228773,1年目で事業部表彰されてた早稲田卒の後輩クン、 ・誰かを待たせるボールは音速でさばく ・ムダなことは徹底的にやらない ・トラブルも笑顔で乗り切る ・「できない理由」より「どうすればできるか」 などはありつつ、とくに突き抜けてた才能は..... 『いつの間にか、なぜか協力者が増えてる』 でした。 1人でやれる仕事は限られるので、他人を動かせる人が結局は大きな成果を出せる。
仕事術,人間関係を円滑に,相手の聞きたい話をせよ,https://x.com/nekosukexx/status/1812316411999748421,
人間関係,人間関係を円滑に,裏での悪口は辞めよう,https://x.com/nekosukexx/status/1795428046356517324,メガベンチャーで超優秀だった早稲田卒35才の上司、・ビビるぐらい頭良い・コミュニケーションは柔らかい・信じられない量の仕事をこなす・でも細部まで把握しており判断が速い・バツいちなので抜けてる面もあるというスーパー人間だったが、真似したくないと思った点が1つだけあって.....「おれ、構造化されてない資料を見るとムシズが走るんだよね」と、裏で言ってたこと。自分が直接言われてなくても、「あ、そういうこと実は思ってる人なんだ....」という印象になるので損ですね。
人間関係,人間関係を円滑に,困ってる同僚には個別でフォローしよう,https://x.com/nekosukexx/status/1791714000914497960,最近入社した慶應卒27才のエース、本物のシゴデキだった...・質問するときは丁寧な果し詞・キーマンとは自分から飲みに誘って仲良くなる・慣れてくると程よく生意気で憑めないポジションに・でも言うべきことはハッキリ言うなどはもちろんできるのだが、一番ナルホドと思ったのは、「複数人の会議で、理解が薄そうな人には後からDMでもフォロー」してると知った時。本人いわく「調整が得意」らしいが、納得だった。
仕事術,人間関係を円滑に,1人で強い人より頼るのが上手い人,https://x.com/KenTana2020/status/1829086795230757107,日系大手に勤めて分かった本当に出世する人って『1人でなんでもできます！』って人よりも、『何それ教えて？』『ありがとうよろしく』を嫌味なく言えて、教えてもらうならこの人・お願いするならこの人、みたいに適任者の見つけ方が得意な人でした。
人間関係,人間関係を円滑に,思ったことも全ては言わないのが大人,https://x.com/KenTana2020/status/1827472054146494814,上司への説明・報告がすこぶる上手い人が意識してるのはこれ
人間関係,人間関係を円滑に,報連相は自分の身を守るために必要,,
マインド,何事もポジティブに,緊張感のある仕事こそエンタメだと思え,https://x.com/nekosukexx/status/1815134404232016065,新卒１年目、ワイの失態により顧客が「上司も連れて謝りにこい！」とブチギレ。客先への道中で緊張MAXの中、上司は「今後は気をつけろ」と怒るのではなく、「いい歳したオッサンが本気で怒る様子なんて滅多に見れへんで、楽しみやな。」と言って和ませてくれたのを、今でも感謝してる。
マインド,考えるよりまず行動,万全の準備をしたい人は、10年後も準備中のまま,https://x.com/nekosukexx/status/1827842390801166841,何にでも万全の準備をしたい人、10年後はこうなるかも。
仕事術,考えるよりまず行動,一番出世してる同期って「とりあえずやってみる。」,,
仕事術,合理的に考える,非合理的なマナーは消えれば良い,https://x.com/nekosukexx/status/1823855872235143428,マジで思うけど、こういうビジネスマナー考えた人って誰？・名刺を渡すのは下から・エレベーターで若手は操作盤の近く・ビールのラベルは上に・面接のドアノックは3回知らなければ誰も気にしないのに、不毛なマナー()を作ったことで本質から逸れていくのアホラシ....
