"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1928813833130488150","https://twitter.com/nekosukexx/status/1928813833130488150","@gonchan38915 傘持たずに飛び込みヤバいですね……","2025-05-31 14:00 +0000","11.0","2.0","0.18181818181818182","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928655456873906607","https://twitter.com/nekosukexx/status/1928655456873906607","@run_webdirector Slackの空気、わかります……","2025-05-31 03:31 +0000","1.0","2.0","2.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631767591686575","https://twitter.com/nekosukexx/status/1928631767591686575","@hanabi_support それは最高にクールですね…","2025-05-31 01:57 +0000","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631561848574336","https://twitter.com/nekosukexx/status/1928631561848574336","@21century_po ありますね。
ただそれは自分の正しさではなく組織の正しさだとも思います（少数派なだけで）。","2025-05-31 01:56 +0000","0.0","1.0","Infinity","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631373369122961","https://twitter.com/nekosukexx/status/1928631373369122961","@shun_tanak まさにそうかもです！","2025-05-31 01:55 +0000","0.0","1.0","Infinity","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631334374879458","https://twitter.com/nekosukexx/status/1928631334374879458","@miranomirano 組織のために動いて評価されるなら、自分の人生のためにもなりますけどね。","2025-05-31 01:55 +0000","2.0","3.0","1.5","0.0","1.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631134809645413","https://twitter.com/nekosukexx/status/1928631134809645413","@msm05sICO 若い頃に通る道かもしれませんね。","2025-05-31 01:54 +0000","1.0","1.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928631044829229244","https://twitter.com/nekosukexx/status/1928631044829229244","@O0RwGBuEuBwTAKl そうなのかも","2025-05-31 01:54 +0000","0.0","0.0","NaN","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928630989389181064","https://twitter.com/nekosukexx/status/1928630989389181064","@andy0981039 自分が満足するためだけのコメントする人、いらないですからね…","2025-05-31 01:53 +0000","0.0","1.0","Infinity","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928614169504350509","https://twitter.com/nekosukexx/status/1928614169504350509","高年収のホワイト企業に転職したいけど時間がない方はマイナビスカウティングで年収600万以上のスカウトを待ってみて。
同業種の同年代と比較して自分の年収が高いのか低いのか、適正年収はいくらなのかを無料診断も出来るから転職するしない関わらず登録必須

登録は↓pr
https://t.co/YfmJmAXukg https://t.co/v6H2ciNdtT","2025-05-31 00:47 +0000","50.0","4.0","0.08","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928614033068011568","https://twitter.com/nekosukexx/status/1928614033068011568","能力を活かして収入upするなら、有名企業への転職可能性が【たった2分】で知れるタレントスクエアがおすすめ。超簡単にA〜D判定してくれて面白い。pr
https://t.co/fTclEkDf1t 

ちなみに私の結果はこんな感じ↓
D判定：Google
C判定：メルカリ
B判定：NTTデータ https://t.co/i3SRlqj2rX","2025-05-31 00:46 +0000","70.0","4.0","0.05714285714285714","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928613861508124861","https://twitter.com/nekosukexx/status/1928613861508124861","正しさを証明したいだけの人、自分の価値を客観視した方がいいよね。
ちなみにミイダスなら簡単に登録すれば「自分が他社なら年収いくら貰えるか？」分かるからおすすめ。pr
https://t.co/EOemuTlSRK https://t.co/Jl9eYjeZMq","2025-05-31 00:45 +0000","33.0","2.0","0.06060606060606061","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928459674984263974","https://twitter.com/nekosukexx/status/1928459674984263974","@offlineplayerDF そう🦆","2025-05-30 14:33 +0000","0.0","1.0","Infinity","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928459619250192496","https://twitter.com/nekosukexx/status/1928459619250192496","@nori_1nori ですね！","2025-05-30 14:32 +0000","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1928433138788708420","https://twitter.com/nekosukexx/status/1928433138788708420","@100manbird 方向がミスってる「頑張る」ほど無意味なものもないですしね…","2025-05-30 12:47 +0000","0.0","2.0","Infinity","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
