"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"2005404894921158809","https://twitter.com/nekosukexx/status/2005404894921158809","昔、早稲田卒のシゴデキ上司に、耳にタコができるほど言われた。

「“頑張ってる”って事実に価値はない。
その努力、向き合ってる方向は合ってるか？」

努力がズレたまま時間をかけると後でキツい。
この上司とに詰められたおかげで、“正しい努力か？”を毎日疑う視点が手に入った。","2025-12-28 22:26 +0000","733.0","33.0","0.045020463847203276","2.0","5.0","16.0","4.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1999223665401929752","https://twitter.com/nekosukexx/status/1999223665401929752","残酷な真実だが、上司の目線では『意思主張しない部下』を昇進させることはない。一方で「自分は〜がやりたい。どうすれば昇進できる？」と意欲剥き出しな部下がいると、それに付き合わざるを得ない。

上司の優先度を上げるには、シンプルに「昇進したい」と意欲を見せるのが速いんだよね。","2025-12-11 21:04 +0000","1200.0","47.0","0.03916666666666667","2.0","4.0","21.0","5.0","0.0","0.0","15.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998861529526276199","https://twitter.com/nekosukexx/status/1998861529526276199","豆腐メンタルの日本人って「みんなに好かれたい」が強すぎるけど、本当は「自分が好きな人にだけ好かれる」方が100倍大事だよな。

その上で「嫌いな人の意見も尊重する」と、人間関係で病むことは激減する。","2025-12-10 21:05 +0000","989.0","29.0","0.029322548028311426","1.0","3.0","15.0","3.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998645153381363783","https://twitter.com/nekosukexx/status/1998645153381363783","@wakairo_CW 次も頑張ろうって思えますよね・・・！","2025-12-10 06:45 +0000","26.0","1.0","0.038461538461538464","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998645105138573546","https://twitter.com/nekosukexx/status/1998645105138573546","@shujinara 奈良さんありがとうございます、まさにですね！！","2025-12-10 06:45 +0000","22.0","2.0","0.09090909090909091","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998645062876733940","https://twitter.com/nekosukexx/status/1998645062876733940","@ray_load50 間違いないです、若手はチャレンジしてミスってなんぼです！","2025-12-10 06:44 +0000","18.0","1.0","0.05555555555555555","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998498889847169417","https://twitter.com/nekosukexx/status/1998498889847169417","新卒のころ、ワイの不手際で顧客から怒られた後、消極的になってた時期。上司が笑いながら、

「最近元気ないな？ 会社って“やらかす若手”がいないと老けるから、安心して。」

と言われて救われたのを覚えてる。
今となっては、そういう若手をサポートするのが上司の役目だとよく分かる。","2025-12-09 21:04 +0000","1009.0","36.0","0.035678889990089196","0.0","4.0","17.0","3.0","0.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998372869445939259","https://twitter.com/nekosukexx/status/1998372869445939259","@shingeki_mind 考え方が180°変わりますよね！","2025-12-09 12:43 +0000","23.0","1.0","0.043478260869565216","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998372777150280002","https://twitter.com/nekosukexx/status/1998372777150280002","@shujinara 奈良さんありがとうございます、まさにそう思います！","2025-12-09 12:42 +0000","35.0","1.0","0.02857142857142857","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1998372718543310914","https://twitter.com/nekosukexx/status/1998372718543310914","@jinji_jtc そういうものですかね…🥺","2025-12-09 12:42 +0000","34.0","1.0","0.029411764705882353","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
